Part,Pad,X Cord,Y Cord
J2,6,40.51299999999999,117.6655
J2,5,37.973,117.6655
J2,4,35.43299999999999,117.6655
J2,3,32.893,117.6655
J2,2,30.352999999999994,117.6655
J2,1,27.813000000000002,117.6655
R2,2,19.10799999999999,65.551
R2,1,19.10799999999999,63.551
R1,2,20.007999999999996,75.3555
R1,1,20.007999999999996,77.3555
J3,1,7.5565,66.4845
J3,2,5.0164999999999935,66.4845
J3,3,7.5565,69.0245
J3,4,5.0164999999999935,69.0245
J3,5,7.5565,71.5645
J3,6,5.0164999999999935,71.5645
J3,7,7.5565,74.1045
J3,8,5.0164999999999935,74.1045
J3,9,7.5565,76.64450000000001
J3,10,5.0164999999999935,76.64450000000001
J3,11,7.5565,79.1845
J3,12,5.0164999999999935,79.1845
J3,13,7.5565,81.7245
J3,14,5.0164999999999935,81.7245
J3,15,7.5565,84.2645
J3,16,5.0164999999999935,84.2645
J3,17,7.5565,86.8045
J3,18,5.0164999999999935,86.8045
J3,19,7.5565,89.3445
J3,20,5.0164999999999935,89.3445
J3,21,7.5565,91.8845
J3,22,5.0164999999999935,91.8845
J3,23,7.5565,94.4245
J3,24,5.0164999999999935,94.4245
J3,25,7.5565,96.9645
J3,26,5.0164999999999935,96.9645
J3,27,7.5565,99.50450000000001
J3,28,5.0164999999999935,99.50450000000001
J3,29,7.5565,102.0445
J3,30,5.0164999999999935,102.0445
J3,31,7.5565,104.5845
J3,32,5.0164999999999935,104.5845
J3,33,7.5565,107.1245
J3,34,5.0164999999999935,107.1245
J3,35,7.5565,109.6645
J3,36,5.0164999999999935,109.6645
J3,37,7.5565,112.2045
J3,38,5.0164999999999935,112.2045
J3,39,7.5565,114.7445
J3,40,5.0164999999999935,114.7445
J1,1,27.749499999999998,59.62650000000001
J1,2,30.28949999999999,59.62650000000001
J1,3,32.829499999999996,59.62650000000001
J1,4,35.3695,59.62650000000001
J1,5,37.909499999999994,59.62650000000001
J1,6,40.4495,59.62650000000001
J5,6,59.24000000000001,66.998
J5,1,57.28999999999999,71.048
J5,2,57.28999999999999,70.398
J5,3,57.28999999999999,69.748
J5,4,57.28999999999999,69.098
J5,5,57.28999999999999,68.44800000000001
J5,6,57.16999999999999,72.168
